MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"S5133117","Welcome To 151 Little Ave! Outstanding 3 Bedroom, 2 Washroom Detached Home With Finished Basement Located In Desirable Allandale Heights. Great For Families And/Or Commuters! Modern Style Kitchen Overlooking Your Backyard Oasis! Garage Access To Inside With Potential For In-Law Suite! Move In Ready!**** EXTRAS **** All Existing: Light Fixtures, Window Coverings, Fridge, Stove, Dishwasher, Washer And Dryer. Large Fully Fenced Backyard With Gorgeous Garden! Only 2 Minutes From The 400! Close To Schools, Shopping And Parks! (28006827)","2","3",,"House",,"151 LITTLE AVE|Barrie, Ontario L4N6L6","-79.6792722","44.3627691","L4N6L6","Allandale Heights","$629,900 ","Single Family","5","Freehold",,,"N/A (Finished)","Baseboard heaters (Electric)","50 x 110 FT","Schools","$3,678",,"https://cdn.realtor.ca/listing/TS637502930320500000/reb82/highres/7/s5133117_1.jpg"
"S5132798","Detached Home In Highly Sought After South End Neighbourhood Close To Go Station, Highway 400, Shopping & Dining. Built In 2010 This Single Owner, Detached 3 Bedroom 4 Bath Home With A Finished Basement Will Not Last Long.**** EXTRAS **** Dishwasher, Dryer, Refrigerator, Stove, Washer (28004389)","4","3",,"House",,"138 SUN KING CRES|Barrie, Ontario L4M0E6","-79.6122535","44.3528053","L4M0E6","Innis-Shore","$599,900 ","Single Family","5","Freehold",,,"Full (Finished)","Forced air (Natural gas)","33 x 112 FT",,"$4,284.18",,"https://cdn.realtor.ca/listing/TS637502694470700000/reb82/highres/8/s5132798_1.jpg"
"S5132987","Fabulous Semi-Detached In Sought After South Barrie. Walking Distance Supermarket, Transit And Community Centre. Great 3-Bedroom Layout House With Recently Finished Basement And 4 Washrooms! Big Private Backyard And Extra-Wide Driveway For Easy Two Car Parking.  Furnace (2018), A/C (2018), Newer Carpet For Staircase And Bedrooms. Remaining 5Yr Warranty For Roof (2016).**** EXTRAS **** Includes All Elf's, Fridge, Stove, B/I Dishwasher, Washer And Dryer, Window Coverings, Water Softener (As Is). (28004580)","4","3",,"House",,"99 LESLIE AVE|Barrie, Ontario L4N9P2","-79.7099178","44.3410561","L4N9P2","Holly","$549,900 ","Single Family","2","Freehold",,,"Full (Finished)","Forced air (Natural gas)","29.53 x 114.82 FT",,"$3,594.36",,"https://cdn.realtor.ca/listing/TS637502695841370000/reb82/highres/7/s5132987_1.jpg"
"S5132756","Welcome Home! This Lovely 2+2 Bdrm Bungalow Is In A Perfect Location In Barrie Close To All City Amenities. Backing On To Farm Land With Two Walk Outs To A Deck Where You Can Enjoy Your Private Yard With New Shed. Updated Open Concept Kitchen Includes New Custom Cupboards, Quartz Counter Tops, Backsplash, Industrial Style Sink And Faucet, New S/S Stove,Fridge, Dishwasher And Microwave Mostly New Doors And Hardware Throughout.**** EXTRAS **** Laundry Area With Barn Door.Custom Address Lettering, Driveway Sealed, Landscaping Done To Front Yard Inclusions: Fridge, Stove, Microwave And Dishwasher, Washer, Dryer, Hot Tub And Shed (28004345)","2","4",,"House",,"108 HANMER ST W|Barrie, Ontario L4N7T6","-79.7200142","44.411384","L4N7T6","West Bayfield","$599,900 ","Single Family","4","Freehold",,,"Full (Finished)","Forced air (Natural gas)","49 x 109 FT","Public Transit","$3,836.40",,"https://cdn.realtor.ca/listing/TS637502694467600000/reb82/highres/6/s5132756_1.jpg"
"40074192","Welcome Home! This lovely 2+2 bdrm bungalow is in a perfect location in Barrie close to all city amenities and just as close to the ski hills! Backing on to farm land with two walk outs to a deck where you can enjoy your private yard with new shed and hot tub. Updated open concept kitchen includes new custom cupboards, quartz counter tops, backsplash, industrial style sink and faucet, new s/s stove,fridge, dishwasher and microwave. Mostly new doors and hardware, throughout, freshly painted. Primary bedroom with new accent wall and paint has walkout to deck right to the hot tub! New laundry area with barn door. Newly added 4th bedroom to the basement. Custom address lettering, driveway sealed, landscaping done to front yard. (62944959)","2","2 + 2","1084.0000","House",,"108 HANMER Street W|Barrie, Ontario L4N7T6","-79.720067","44.411449","L4N7T6",,"$599,900 ","Single Family","4","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer, Hot Tub",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Public Transit",,"R2","https://cdn.realtor.ca/listing/TS637502259828570000/reb17/highres/2/40074192_1.jpg"
"N5132319","This Stunning Bungalow In Innisfil Is The Perfect Investor, Starter Or Downsizer. It's Charm Hits You From The Minute You Pull In The Driveway! Featuring Entry/Mudroom W/ Storage, Open Concept Main Living Area W/ Beautiful Custom Built Entertainment Unit Framing The Cozy Gas F/P, Rich Dark Kitchen Cabinetry & Granite Counters, & Breakfast Bar. Large Windows & Pot Lights Throughout. 2Bdrms, & 4Pc Bath!**** EXTRAS **** Included - Fridge, Stove, Dishwasher, Microwave, Washer, Dryer, Kitchen Bar Stools Exclude- Tenants Belongings, Tvs, Hot Tub (Hot Tub Is Owned By Tenant, They Are Willing To Sell Private Deal) Property Extends Beyond The Fenced Area. (28002380)","1","2",,"House",,"2314 SOMERS BLVD|Innisfil, Ontario L9S2E8","-79.5376433","44.3269043","L9S2E8","Alcona","$589,000 ","Single Family","3","Freehold",,,"Crawl space","Baseboard heaters (Electric)","90 x 169.83 FT",,"$2,719.02",,"https://cdn.realtor.ca/listing/TS637502200272700000/reb82/highres/9/n5132319_1.jpg"
"S5131928","Top Reasons You Will Love This Home. Large Lot 60 Ft X 253 Ft Located In Prime Location Yonge St. Close To Schools, Parks, Shopping, Go Train Station, All Amenities. Many Interior Updates. New Furnace 2018, New Roof 2016, New Washer/Dryer 2020, 200 Amp Panel, 60 Amp In Detached Garage. A Great Opportunity Available.**** EXTRAS **** Incl: Fridge, Stove, Dishwasher, Washer/Dryer, All Window Coverings, All Elf's (28000168)","1","2",,"House",,"945 YONGE ST|Barrie, Ontario L9J0E6","-79.6309856","44.350902","L9J0E6","Painswick South","$499,000 ","Single Family","7","Freehold",,,"Partial (Unfinished)","Forced air (Natural gas)","60 x 253 FT","Public Transit, Schools","$2,820",,"https://cdn.realtor.ca/listing/TS637502117777300000/reb82/highres/8/s5131928_1.jpg"
"N5131688","Adorable Bungalow Steps To The Beach! Well Optimized Home With Private Beach Access! Close To All Amenities. Mature Lot With Trees & Fenced Yard With Shed & Workshop. Open Concept Floor Plan With Loads Of Natural Light, & Entrances At The Front, Back, & Side Of The Home! Laminate & Tile Flooring, Vaulted Ceiling In Foyer, Newer Furnace & Shingles. Don't Miss Out On This Cozy #hometostay! Visit Our Site For More Info, Photos, & A 3D Tour!**** EXTRAS **** Inclusions: Dryer, Refrigerator, Stove, Washer // Exclusions: Tenants Personal Belongings // Rental: Hot Water Heater (27999848)","1","2",,"House",,"2004 INGLEWOOD DR|Innisfil, Ontario L9S1Z1","-79.5420131","44.3120502","L9S1Z1","Alcona","$619,900 ","Single Family",,"Freehold",,,"Crawl space","Forced air (Natural gas)","49.9 x 150.46 M","Park, Schools","$2,270.84",,"https://cdn.realtor.ca/listing/TS637502060984000000/reb82/highres/8/n5131688_1.jpg"
"40073090","Detached home in highly sought after south end neighbourhood close to Go station, highway 400, shopping & dining. Built in 2010 this single owner, detached 3 bedroom 4 bath home with a finished basement will not last long. (62940763)","4","3 + 0","1631.0000","House",,"138 SUN KING Crescent|Barrie, Ontario L4M0E5","-79.61224277","44.35284824","L4M0E5",,"$599,900 ","Single Family","5","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Water softener, Washer",,"Full (Finished)","Forced air","under 1/2 acre","Golf Nearby, Place of Worship, Playground, Public Transit, Schools, Shopping",,"R4","https://cdn.realtor.ca/listing/TS637502044511230000/reb17/highres/0/40073090_1.jpg"
"S5131701","Top 5 Reasons You Will Love This Home: 1) Well-Maintained And Sunlit Home 2) Spacious Main Level With An Open-Concept Kitchen And Breakfast Area With A Sliding Glass Door Walkout Leading To The Backyard 3) Fully-Finished Basement Offering Additional Living And Entertaining Space 4) Fully-Fenced Backyard Equipped With A Firepit Area, The Included Hot Tub, And A Patio 5) Within Close Proximity To A Vast Selection Of Amenities, Local Schools, And Much More.**** EXTRAS **** Inclusions: Fridge (X2), Stove, Dishwasher, Microwave, Washer, Dryer, Window Coverings (Blinds), Hot Tub (27999935)","4","3",,"House",,"5 TRASK DR|Barrie, Ontario L4N5R3","-79.7187965","44.3578395","L4N5R3","Ardagh","$599,999 ","Single Family","3","Freehold",,,"Full (Finished)","Forced air (Natural gas)","40.55 x 129.6 FT","Park, Schools","$4,442",,"https://cdn.realtor.ca/listing/TS637502061458400000/reb82/highres/1/s5131701_1.jpg"
