MlsNumber,PublicRemarks,Bathrooms,Bedrooms,InteriorSize,Type,Ammenities,Address,Longitude,Latitude,PostalCode,NeighbourHood,Price,PropertyType,ParkingSpace,OwnershipType,Appliances,FlooringType,BasementType,HeatingType,LandSize,AmmenitiesNearBy,PropertyTax,ZoningDescription,LowResPhoto
"X5162159","Circa 1884 Classic Yellow Brick Farmhouse. Ready To Move In Or Renovate To Suite Your Taste. Lots Of Characteristics & Potentials. Featuring Kitchen W/ Breakfast Area & Laundry Set, 4 Bedrooms, 2 Bathrooms, 2F Balcony, Deck & Storage Shed (As Is) In Backyard, And 4+ Driveway Parking. Walk To Lrt, Amenities, Parks, Hospitals, Tech Innovation District, And Go Station Direct W/ Train To Toronto. 30 Mins Walking To Uptown Waterloo Bia. East Access Hwys.**** EXTRAS **** Buyer Arrange Home Inspection. Wiring 2012. 2F Bath & Roof 2014. Furnace & Ac 2015. Gf Bath, Windows, Kitchen & Ss Appliances 2016. Water Purifier & Softener, Laundry Are Unknown. No Under Contract Items. Property & Fixtures Are Sold As Is. (28125759)","2","4",,"House",,"110 WILHELM ST|Kitchener, Ontario N2H5S4","-80.4942108","43.460235","N2H5S4",,"$699,000 ","Single Family",,"Freehold",,,"Full (Unfinished)","Forced air (Natural gas)","50.4 x 119.43 FT ; 78.48 X 122.36 X 51.18 X 119.43","Hospital, Park, Public Transit, Schools","$3,683.30",,"https://cdn.realtor.ca/listing/TS637520329049000000/reb82/highres/9/x5162159_1.jpg"
"X5162361","The Perfect Family Home. Pride Of Ownership & Upgraded Over The Years. Beautifully Renovated Kitchen, Bright Dining And Living Room, 3 Bedrooms - All On The Main Level. The Master Bedroom Features An Ensuite 2-Piece. A Super-Size Lower Level With Two Walkouts To The Backyard. Large Family Room Perfect For Movie Nights And Features A Patio Door Walkout To A Sunny, Large Deck. Lower Workshop, Office, & Washroom. Lg Corner Lot, Schools, Shops, Hwy!**** EXTRAS **** Large Corner Lot, Close To Schools, Transit, Hwy Access. Home Has Been Maintained Throughout The Ownership. Includes Existing Fridge, Stove, Dishwasher, Laundry Machines, Window Covers, Both Garden Sheds & Antique Organ In Family Room. (28125983)","3","3",,"House",,"6 PINEDALE DR|Kitchener, Ontario N2E1J7","-80.5041411","43.4197915","N2E1J7",,"$599,900 ","Single Family",,"Freehold",,,"Full (Finished)","Forced air (Natural gas)","63.56 x 100.16 FT","Park, Public Transit, Schools","$3,067.60",,"https://cdn.realtor.ca/listing/TS637520329607700000/reb82/highres/1/x5162361_1.jpg"
"40082085","BEAUTIFUL BUNGALOW WITH A RUSTIC FEEL IN THE CITY!! Welcome to 43 Jack Ave. Located within walking distance of Victoria Park and Belmont Village. This charming detached carpet-free bungalow is move-in ready and great for first-time home buyers. Upon entering the home, you walk into the living room with a large window and a showstopper of an accent wall. The main floor also includes a 4pc bathroom and 2 good-sized bedrooms including a master bedroom with a walk-in closet. Walking a little further into the home you have a dining room with beautiful exposed wood beams and sliding door to access the large backyard. The kitchen includes stainless steel appliances with white cabinetry and white waterfall countertops. The basement is fully finished with durable epoxy floors which include a large recreational room for extra living space, 5pc bathroom, spare bedroom, office, and another kitchen. Lastly, the fully fenced backyard features a new concreate pad and shed (2020). Full reno upstairs and downstairs (2019). 3+ car deep driveway. Updated ventilation in bathrooms (2019). Fully licensed and commercial kitchen with proper zoning in the basement. Minutes from St. Marys Hospital, Victoria Park, Downtown Kitchener, and schools. Book your private showing today! (63044444)","2","2 + 1","1010.9900","House",,"43 JACK Avenue|Kitchener, Ontario N2M1Z9","-80.50997927","43.44268073","N2M1Z9",,"$599,000 ","Single Family","4","Freehold","Dishwasher, Dryer, Refrigerator, Stove, Washer",,"Full (Finished)","Forced air, (Natural gas)","0.144 ac|under 1/2 acre","Hospital, Park, Public Transit, Schools",,"RES","https://cdn.realtor.ca/listing/TS637520222961570000/reb20/highres/5/40082085_1.jpg"
"40082265","ATTENTION COMMUTERS! LOCATION! Welcome to 369 Thomas Slee Dr. This beautiful detached 2 storey home is move-in ready and finished top to bottom. Enter into the large front foyer which leads you to the 2pc powder room and carpet-free main living area. The living room/dining room has elevated ceilings making the space very roomy, a window to allow in natural light and sliding doors that gives you access to the backyard. Talk about open-concept and clear sightlines! The kitchen is open to the living/dining room and has stainless steel appliances, a double sink with a window and lots of cabinetry for storage. Upstairs features a 4pc bathroom and 3 spacious bedrooms including a master bedroom with a 4pc ensuite and walk-in closet. The basement is fully finished with a 3pc bathroom and a large recreational room for additional living space. Lastly, the backyard has a stone patio set where you can enjoy relaxing on those nice summer afternoons with greenery in the back for added privacy from your rear neighbours. Minutes from schools, parks, trails, Rec Centre and HWY 401. Book your private showing today! (63044620)","4","3 + 0","1552.6000","House",,"369 THOMAS SLEE Drive|Kitchener, Ontario N2P2X5","-80.43373637","43.37484378","N2P2X5",,"$749,900 ","Single Family","3","Freehold","Dishwasher, Dryer, Microwave, Refrigerator, Stove, Water softener, Washer",,"Full (Finished)","Forced air, (Natural gas)","0.091 ac|under 1/2 acre","Park, Schools",,"RES","https://cdn.realtor.ca/listing/TS637520222950930000/reb20/highres/5/40082265_1.jpg"
"40084934","Location, Location, Location! This move-in ready, fully updated, cozy, warm Bungalow has lots of potentials to offer and waiting for you! Freshly painted main floor with updated kitchen, bathroom, and hardwood floor throughout! Big, clean basement with plenty of space (bedroom+full bathroom+recreation room) and a Separate Entrance which gives you an income potential! The big, Spacious backyard offers you to be creative and have an addition to the current building and turn it into a big,2-story with 3400sqft (total living space including basement). The engineer development plan (drawing) is ready for the next lucky owner! An easy walk to Schools, the University of Waterloo and Wilfrid Laurier University, College Campus, Parks, Trails, Shopping centers, on Public Transportation route and commuting made simple with the Expressway nearby.  Don't lose this opportunity and book your private showing today! (63045702)","2","2 + 1",,"House",,"459 BRIDGEPORT Road|Kitchener, Ontario N2K1N8","-80.48935231","43.47483802","N2K1N8",,"$699,900 ","Single Family",,"Freehold","Central Vacuum, Dishwasher, Dryer, Refrigerator, Stove, Water softener, Washer, Microwave Built-in",,"Full (Finished)","Forced air","under 1/2 acre","Place of Worship, Public Transit, Schools, Shopping",,"R3","https://cdn.realtor.ca/listing/TS637520263052070000/reb16/highres/4/40084934_1.jpg"
"40084765","Welcome to 38 Carlyle Place. Located at the top of the circle on this quiet court. A great place to raise little ones and enjoy a great neighborhood. Three good sized bedrooms and two bathrooms, recently updated kitchen and newer windows (2012). The pie shaped lot allows plenty of room for backyard entertaining, gardening and birdwatching. (63044811)","2","3 + 0",,"House",,"38 CARLYLE Place|Kitchener, Ontario N2P1R6","-80.45407022","43.39399927","N2P1R6",,"$560,000 ","Single Family",,"Freehold","Dryer, Microwave, Refrigerator, Stove, Water softener, Washer, Window Coverings",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Public Transit, Schools, Shopping",,"RES","https://cdn.realtor.ca/listing/TS637520053267370000/reb16/highres/5/40084765_1.jpg"
"40084724","Welcome to 79 The Country Way located in the Country Hills area of Kitchener. This backsplit is a Werner Bromberg build circa 1985. Much of the original character remains but with a vision and some updates this gem will shine again. This 4 level backsplit has a main floor consisting of a living room with french doors, dining room and a large eat-in kitchen with a slider to an outside deck. The upper level has 3 bedrooms and a 4 piece bathroom. The lower level has a large family room with gas fireplace and a slider to the rear yard it also features a 3 piece bath. The basement consists of a rec room, cold cellar and a utility room with laundry provisions. Call now for your private showing ! (63044258)","2","3 + 0",,"House",,"79 THE COUNTRY Way|Kitchener, Ontario N2E2K3","-80.47808759","43.412031","N2E2K3",,"$550,000 ","Single Family","3","Freehold","Central Vacuum, Dishwasher, Dryer, Refrigerator, Stove, Water softener, Washer, Window Coverings",,"Full (Partially finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Place of Worship, Public Transit, Schools, Shopping",,"Residential","https://cdn.realtor.ca/listing/TS637519569306000000/reb16/highres/4/40084724_1.jpg"
"40083831","EXCEPTIONAL SEMI!  Spacious 4 bedroom, 3 bathroom semi-detached home. Room to play and garden on a fenced 180 ft. deep lot! Open concept living and dining room with hardwood floors. Spacious kitchen with dinette and sliding doors to stamped concrete patio & fully-fenced yard. Newly finished basement with rec room, laundry and deluxe 4 piece bathroom. Single garage and driveway parking for 4 vehicles. Family-friendly Country hills neighbourhood, close to parks, schools, shopping & convenient highway access. (63042669)","3","4 + 0","1556.0000","House",,"50 JOSHUA Street|Kitchener, Ontario N2C2T4","-80.46475133","43.41685804","N2C2T4",,"$649,000 ","Single Family","5","Freehold","Dishwasher, Dryer, Refrigerator, Water softener, Washer, Microwave Built-in",,"Full (Finished)","Forced air, (Natural gas)","under 1/2 acre","Park, Public Transit, Schools",,"RESIDENTAL","https://cdn.realtor.ca/listing/TS637519119189530000/reb16/highres/1/40083831_1.jpg"
"X5160400","Sought After Neighborhood Of Country Hills, Sits This 3+1 Bedroom Family Home Offering A Huge Potential For An In-Law Setup Or Mortgage Helper In The Walkout Basement. With Walking Trails, Parks, Many Amenities Nearby, Close Proximity To Conestoga College & Access To The 401, Don't Pass Up This Opportunity! (28117305)","3","3 + 1",,"House",,"235 SOUTHWOOD DR|Kitchener, Ontario N2E2B2","-80.4680714","43.4092926","N2E2B2",,"$624,888 ","Single Family","2","Freehold",,,"N/A (Finished)","Forced air (Natural gas)","35.47 x 114 FT","Public Transit, Schools","$4,167",,"https://cdn.realtor.ca/listing/TS637518227311930000/reb86/highres/0/x5160400_1.jpg"
"40084440","Amazing investment opportunity in a sought after neighbourhood! All brick raised bungalow with full in law suite. This home can easily be converted into a duplex and the large majority of the construction for a duplex has been done already. (It is missing a fire rated door and the application process plus associated fees). This lovely dwelling sits on a lot that is 122 feet deep and has 4 bedrooms, 2 bathrooms and 2 kitchens. All appliances are included. Upgrades include a new 22x30 foot deck(2020); New water softener(2020). The home also boasts two gas fireplaces, California shutters. The kitchen has solid wood cabinets with an island that opens up the the spacious living room. Just a hop and a skip away from the Boardwalk and all its amenities. (63041025)","2","3 + 0","1965.0000","House",,"55 WILDLARK Crescent|Waterloo, Ontario N2N3E9","-80.53884884","43.43161373","N2N3E9",,"$719,000 ","Single Family","3","Freehold","Dishwasher",,"Full (Finished)","Forced air","under 1/2 acre",,,"RES","https://cdn.realtor.ca/listing/TS637517859221730000/reb16/highres/0/40084440_1.jpg"
